passenger_id,pclass,sex,age,survival
292,1,2,19,1
293,2,1,36,0
294,3,2,24,0
295,3,1,24,0
296,1,1,35,0
297,3,1,23.5,0
298,1,2,2,0
299,1,1,35,1
300,1,2,50,1
301,3,2,35,1
302,3,1,35,1
303,3,1,19,0
304,2,2,35,1
305,3,1,35,0
306,1,1,0.92,1
307,1,2,35,1
308,1,2,17,1
309,2,1,30,0
310,1,2,30,1
311,1,2,24,1
312,1,2,18,1
313,2,2,26,0
314,3,1,28,0
315,2,1,43,0
316,3,2,26,1
317,2,2,24,1
318,2,1,54,0
319,1,2,31,1
320,1,2,40,1
321,3,1,22,0
322,3,1,27,0
323,2,2,30,1
324,2,2,22,1
325,3,1,35,0
326,1,2,36,1
327,3,1,61,0
328,2,2,36,1
329,3,2,31,1
330,1,2,16,1
331,3,2,35,1
332,1,1,45.5,0
333,1,1,38,0
334,3,1,16,0
335,1,2,35,1
336,3,1,35,0
337,1,1,29,0
338,1,2,41,1
339,3,1,45,1
340,1,1,45,0
341,2,1,2,1
342,1,2,24,1
343,2,1,28,0
344,2,1,25,0
345,2,1,36,0
346,2,2,24,1
347,2,2,40,1
348,3,2,35,1
349,3,1,3,1
350,3,1,42,0
351,3,1,23,0
352,1,1,35,0
353,3,1,15,0
354,3,1,25,0
355,3,1,35,0
356,3,1,28,0
357,1,2,22,1
358,2,2,38,0
359,3,2,35,1
360,3,2,35,1
361,3,1,40,0
362,2,1,29,0
363,3,2,45,0
364,3,1,35,0
365,3,1,35,0
366,3,1,30,0
367,1,2,60,1
368,3,2,35,1
369,3,2,35,1
370,1,2,24,1
371,1,1,25,1
372,3,1,18,0
373,3,1,19,0
374,1,1,22,0
375,3,2,3,0
376,1,2,35,1
377,3,2,22,1
378,1,1,27,0
379,3,1,20,0
380,3,1,19,0
381,1,2,42,1
382,3,2,1,1
383,3,1,32,0
384,1,2,35,1
385,3,1,35,0
386,2,1,18,0
387,3,1,1,0
388,2,2,36,1
389,3,1,35,0
390,2,2,17,1
391,1,1,36,1
392,3,1,21,1
393,3,1,28,0
394,1,2,23,1
395,3,2,24,1
396,3,1,22,0
397,3,2,31,0
398,2,1,46,0
399,2,1,23,0
400,2,2,28,1
401,3,1,39,1
402,3,1,26,0
403,3,2,21,0
404,3,1,28,0
405,3,2,20,0
406,2,1,34,0
407,3,1,51,0
408,2,1,3,1
409,3,1,21,0
410,3,2,35,0
411,3,1,35,0
412,3,1,35,0
413,1,2,33,1
414,2,1,35,0
415,3,1,44,1
416,3,2,35,0
417,2,2,34,1
418,2,2,18,1
419,2,1,30,0
420,3,2,10,0
421,3,1,35,0
422,3,1,21,0
423,3,1,29,0
424,3,2,28,0
425,3,1,18,0
426,3,1,35,0
427,2,2,28,1
428,2,2,19,1
429,3,1,35,0
430,3,1,32,1
431,1,1,28,1
432,3,2,35,1
433,2,2,42,1
434,3,1,17,0
435,1,1,50,0
436,1,2,14,1
437,3,2,21,0
438,2,2,24,1
439,1,1,64,0
440,2,1,31,0
441,2,2,45,1
442,3,1,20,0
443,3,1,25,0
444,2,2,28,1
445,3,1,35,1
446,1,1,4,1
447,2,2,13,1
448,1,1,34,1
449,3,2,5,1
450,1,1,52,1
451,2,1,36,0
452,3,1,35,0
453,1,1,30,0
454,1,1,49,1
455,3,1,35,0
456,3,1,29,1
457,1,1,65,0
458,1,2,35,1
459,2,2,50,1
460,3,1,35,0
461,1,1,48,1
462,3,1,34,0
463,1,1,47,0
464,2,1,48,0
465,3,1,35,0
466,3,1,38,0
467,2,1,35,0
468,1,1,56,0
469,3,1,35,0
470,3,2,0.75,1
471,3,1,35,0
472,3,1,38,0
473,2,2,33,1
474,2,2,23,1
475,3,2,22,0
476,1,1,35,0
477,2,1,34,0
478,3,1,29,0
479,3,1,22,0
480,3,2,2,1
481,3,1,9,0
482,2,1,35,0
483,3,1,50,0
484,3,2,63,1
485,1,1,25,1
486,3,2,35,0
487,1,2,35,1
488,1,1,58,0
489,3,1,30,0
490,3,1,9,1
491,3,1,35,0
492,3,1,21,0
493,1,1,55,0
494,1,1,71,0
495,3,1,21,0
496,3,1,35,0
497,1,2,54,1
498,3,1,35,0
499,1,2,25,0
500,3,1,24,0
501,3,1,17,0
502,3,2,21,0
503,3,2,35,0
504,3,2,37,0
505,1,2,16,1
506,1,1,18,0
507,2,2,33,1
508,1,1,35,1
509,3,1,28,0
510,3,1,26,1
511,3,1,29,1
512,3,1,35,0
513,1,1,36,1
514,1,2,54,1
515,3,1,24,0
516,1,1,47,0
517,2,2,34,1
518,3,1,35,0
519,2,2,36,1
520,3,1,32,0
521,1,2,30,1
522,3,1,22,0
523,3,1,35,0
524,1,2,44,1
525,3,1,35,0
526,3,1,40.5,0
527,2,2,50,1
528,1,1,35,0
529,3,1,39,0
530,2,1,23,0
531,2,2,2,1
532,3,1,35,0
533,3,1,17,0
534,3,2,35,1
535,3,2,30,0
536,2,2,7,1
537,1,1,45,0
538,1,2,30,1
539,3,1,35,0
540,1,2,22,1
541,1,2,36,1
542,3,2,9,0
543,3,2,11,0
544,2,1,32,1
545,1,1,50,0
546,1,1,64,0
547,2,2,19,1
548,2,1,35,1
549,3,1,33,0
550,2,1,8,1
551,1,1,17,1
552,2,1,27,0
553,3,1,35,0
554,3,1,22,1
555,3,2,22,1
556,1,1,62,0
557,1,2,48,1
558,1,1,35,0
559,1,2,39,1
560,3,2,36,1
561,3,1,35,0
562,3,1,40,0
563,2,1,28,0
564,3,1,35,0
565,3,2,35,0
566,3,1,24,0
567,3,1,19,0
568,3,2,29,0
569,3,1,35,0
570,3,1,32,1
571,2,1,62,1
572,1,2,53,1
573,1,1,36,1
574,3,2,35,1
575,3,1,16,0
576,3,1,19,0
577,2,2,34,1
578,1,2,39,1
579,3,2,35,0
580,3,1,32,1
581,2,2,25,1
582,1,2,39,1
583,2,1,54,0
584,1,1,36,0
585,3,1,35,0
586,1,2,18,1
587,2,1,47,0
588,1,1,60,1
589,3,1,22,0
590,3,1,35,0
591,3,1,35,0
592,1,2,52,1
593,3,1,47,0
594,3,2,35,0
595,2,1,37,0
596,3,1,36,0
597,2,2,35,1
598,3,1,49,0
599,3,1,35,0
600,1,1,49,1
601,2,2,24,1
602,3,1,35,0
603,1,1,35,0
604,3,1,44,0
605,1,1,35,1
606,3,1,36,0
607,3,1,30,0
608,1,1,27,1
609,2,2,22,1
610,1,2,40,1
611,3,2,39,0
612,3,1,35,0
613,3,2,35,1
614,3,1,35,0
615,3,1,35,0
616,2,2,24,1
617,3,1,34,0
618,3,2,26,0
619,2,2,4,1
620,2,1,26,0
621,3,1,27,0
622,1,1,42,1
623,3,1,20,1
624,3,1,21,0
625,3,1,21,0
626,1,1,61,0
627,2,1,57,0
628,1,2,21,1
629,3,1,26,0
630,3,1,35,0
631,1,1,80,1
632,3,1,51,0
633,1,1,32,1
634,1,1,35,0
635,3,2,9,0
636,2,2,28,1
637,3,1,32,0
638,2,1,31,0
639,3,2,41,0
640,3,1,35,0
641,3,1,20,0
642,1,2,24,1
643,3,2,2,0
644,3,1,35,1
645,3,2,0.75,1
646,1,1,48,1
647,3,1,19,0
648,1,1,56,1
649,3,1,35,0
650,3,2,23,1
651,3,1,35,0
652,2,2,18,1
653,3,1,21,0
654,3,2,35,1
655,3,2,18,0
656,2,1,24,0
657,3,1,35,0
658,3,2,32,0
659,2,1,23,0
660,1,1,58,0
661,1,1,50,1
662,3,1,40,0
663,1,1,47,0
664,3,1,36,0
665,3,1,20,1
666,2,1,32,0
667,2,1,25,0
668,3,1,35,0
669,3,1,43,0
670,1,2,35,1
671,2,2,40,1
672,1,1,31,0
673,2,1,70,0
674,2,1,31,1
675,2,1,35,0
676,3,1,18,0
677,3,1,24.5,0
678,3,2,18,1
679,3,2,43,0
680,1,1,36,1
681,3,2,35,0
682,1,1,27,1
683,3,1,20,0
684,3,1,14,0
685,2,1,60,0
686,2,1,25,0
687,3,1,14,0
688,3,1,19,0
689,3,1,18,0
690,1,2,15,1
691,1,1,31,1
692,3,2,4,1
693,3,1,35,1
694,3,1,25,0
695,1,1,60,0
696,2,1,52,0
697,3,1,44,0
698,3,2,35,1
699,1,1,49,0
700,3,1,42,0
701,1,2,18,1
702,1,1,35,1
703,3,2,18,0
704,3,1,25,0
705,3,1,26,0
706,2,1,39,0
707,2,2,45,1
708,1,1,42,1
709,1,2,22,1
710,3,1,35,1
711,1,2,24,1
712,1,1,35,0
713,1,1,48,1
714,3,1,29,0
715,2,1,52,0
716,3,1,19,0
717,1,2,38,1
718,2,2,27,1
719,3,1,35,0
720,3,1,33,0
721,2,2,6,1
722,3,1,17,0
723,2,1,34,0
724,2,1,50,0
725,1,1,27,1
726,3,1,20,0
727,2,2,30,1
728,3,2,35,1
729,2,1,25,0
730,3,2,25,0
731,1,2,29,1
732,3,1,11,0
733,2,1,35,0
734,2,1,23,0
735,2,1,23,0
736,3,1,28.5,0
737,3,2,48,0
738,1,1,35,1
739,3,1,35,0
740,3,1,35,0
741,1,1,35,1
742,1,1,36,0
743,1,2,21,1
744,3,1,24,0
745,3,1,31,1
746,1,1,70,0
747,3,1,16,0
748,2,2,30,1
749,1,1,19,0
750,3,1,31,0
751,2,2,4,1
752,3,1,6,1
753,3,1,33,0
754,3,1,23,0
755,2,2,48,1
756,2,1,0.67,1
757,3,1,28,0
758,2,1,18,0
759,3,1,34,0
760,1,2,33,1
761,3,1,35,0
762,3,1,41,0
763,3,1,20,1
764,1,2,36,1
765,3,1,16,0
766,1,2,51,1
767,1,1,35,0
768,3,2,30.5,0
769,3,1,35,0
770,3,1,32,0
771,3,1,24,0
772,3,1,48,0
773,2,2,57,0
774,3,1,35,0
775,2,2,54,1
776,3,1,18,0
777,3,1,35,0
778,3,2,5,1
779,3,1,35,0
780,1,2,43,1
781,3,2,13,1
782,1,2,17,1
783,1,1,29,0
784,3,1,35,0
785,3,1,25,0
786,3,1,25,0
787,3,2,18,1
788,3,1,8,0
789,3,1,1,1
790,1,1,46,0
791,3,1,35,0
792,2,1,16,0
793,3,2,35,0
794,1,1,35,0
795,3,1,25,0
796,2,1,39,0
797,1,2,49,1
798,3,2,31,1
799,3,1,30,0
800,3,2,30,0
801,2,1,34,0
802,2,2,31,1
803,1,1,11,1
804,3,1,0.42,1
805,3,1,27,1
806,3,1,31,0
807,1,1,39,0
808,3,2,18,0
809,2,1,39,0
810,1,2,33,1
811,3,1,26,0
812,3,1,39,0
813,2,1,35,0
814,3,2,6,0
815,3,1,30.5,0
816,1,1,35,0
817,3,2,23,0
818,2,1,31,0
819,3,1,43,0
820,3,1,10,0
821,1,2,52,1
822,3,1,27,1
823,1,1,38,0
824,3,2,27,1
825,3,1,2,0
826,3,1,35,0
827,3,1,35,0
828,2,1,1,1
829,3,1,35,1
830,1,2,62,1
831,3,2,15,1
832,2,1,0.83,1
833,3,1,35,0
834,3,1,23,0
835,3,1,18,0
836,1,2,39,1
837,3,1,21,0
838,3,1,35,0
839,3,1,32,1
840,1,1,35,1
841,3,1,20,0
842,2,1,16,0
843,1,2,30,1
844,3,1,34.5,0
845,3,1,17,0
846,3,1,42,0
847,3,1,35,0
848,3,1,35,0
849,2,1,28,0
850,1,2,35,1
851,3,1,4,0
852,3,1,74,0
853,3,2,9,0
854,1,2,16,1
855,2,2,44,0
856,3,2,18,1
857,1,2,45,1
858,1,1,51,1
859,3,2,24,1
860,3,1,35,0
861,3,1,41,0
862,2,1,21,0
863,1,2,48,1
864,3,2,35,0
865,2,1,24,0
866,2,2,42,1
867,2,2,27,1
868,1,1,31,0
869,3,1,35,0
870,3,1,4,1
871,3,1,26,0
872,1,2,47,1
873,1,1,33,0
874,3,1,47,0
875,2,2,28,1
876,3,2,15,1
877,3,1,20,0
878,3,1,19,0
879,3,1,35,0
880,1,2,56,1
881,2,2,25,1
882,3,1,33,0
883,3,2,22,0
884,2,1,28,0
885,3,1,25,0
886,3,2,39,0
887,2,1,27,0
888,1,2,19,1
889,3,2,35,0
890,1,1,26,1
891,3,1,32,0
